"","X1","X2"
"1",1,3
"2",1,4
"3",1,5
"4",1,6
"5",1,7
"6",1,8
"7",1,9
"8",1,11
"9",1,12
"10",1,13
"11",1,14
"12",1,18
"13",1,20
"14",1,22
"15",1,32
"16",2,3
"17",2,4
"18",2,8
"19",2,14
"20",2,18
"21",2,20
"22",2,22
"23",2,31
"24",3,4
"25",3,8
"26",3,9
"27",3,10
"28",3,14
"29",3,28
"30",3,29
"31",3,33
"32",4,8
"33",4,13
"34",4,14
"35",5,7
"36",5,11
"37",6,7
"38",6,11
"39",6,17
"40",7,17
"41",9,31
"42",9,33
"43",9,34
"44",10,34
"45",14,34
"46",15,33
"47",15,34
"48",16,33
"49",16,34
"50",19,33
"51",19,34
"52",20,34
"53",21,33
"54",21,34
"55",23,33
"56",23,34
"57",24,26
"58",24,28
"59",24,30
"60",24,33
"61",24,34
"62",25,26
"63",25,28
"64",25,32
"65",26,32
"66",27,30
"67",27,34
"68",28,34
"69",29,32
"70",29,34
"71",30,33
"72",30,34
"73",31,33
"74",31,34
"75",32,33
"76",32,34
"77",33,34
